year,brand,model,location,price,mileage,body_type,exterior_colour,interior_colour,door,passenger,transmission,drive_type,displacement,cylinder,fuel
2014,Hyundai,Elantra,Aurora,"$13,999","83,141",Sedan,Gray,Black,4,5,Automatic,FWD,2.0L,4,Gasoline
2019,Jeep,Cherokee,Aurora,"$28,888","27,898",SUV,Red,Black,4,5,Automatic,4x4,3.2L,6,Gasoline
2012,Subaru,Outback,Aurora,"$5,995","248,100",-,Blue,Black,4,5,Manual,AWD,#NAME?,-,Gasoline
2011,Audi,Q5,Aurora,"$11,995","175,100",SUV,Black,Black,4,5,Automatic,AWD,#NAME?,-,Gasoline
2012,Subaru,Outback,Aurora,"$8,995","158,800",SUV,Blue,Black,4,5,Automatic,AWD,#NAME?,-,Gasoline
2012,Audi,Q5,Aurora,"$10,995","170,400",SUV,Blue,Tan,4,5,Automatic,AWD,#NAME?,-,Gasoline
2019,Ford,E-450,Aurora,$CALL,"23,000",-,-,-,-,-,-,-,#NAME?,-,-
2017,Ford,Transit,Aurora,"$25,985","101,000",Commercial,-,-,3,-,Automatic,RWD,#NAME?,6,-
2020,GMC,Savana,Aurora,"$33,985","10,000",Commercial,-,-,3,2,Automatic,RWD,6.0L,8,Gasoline
2014,Mercedes-Benz,E-Class,Aurora,"$21,995","101,000",Sedan,Black,Black,4,5,Automatic,AWD,2.1L,4,Diesel
2019,Chevrolet,Express,Aurora,"$26,985","40,000",-,-,-,3,-,Automatic,RWD,#NAME?,8,-
2019,Ford,Transit,Aurora,"$36,985","6,000",Commercial,-,-,3,2,Automatic,RWD,3.7L,6,Flex
2019,Ford,E-450,Aurora,"$35,985","19,374",-,-,-,-,-,-,-,#NAME?,-,-
2019,Ford,Transit,Aurora,"$35,985","20,000",-,-,-,3,-,Automatic,RWD,#NAME?,-,Gasoline
2019,GMC,Savana,Aurora,"$30,985","9,000",-,-,-,3,-,Automatic,RWD,#NAME?,-,Gasoline
2018,Ford,Transit,Aurora,"$30,985","22,000",-,-,-,-,-,-,-,#NAME?,-,Gasoline
2018,Ford,Transit,Aurora,"$29,985","54,000",-,-,-,-,-,-,-,#NAME?,-,Gasoline
2019,GMC,Savana,Aurora,"$28,985","23,000",Commercial,-,-,3,2,Automatic,RWD,4.3L,6,Gasoline
2019,GMC,Savana,Aurora,"$34,985","30,412",-,-,-,2,-,Automatic,RWD,#NAME?,-,Gasoline
2019,Ford,E-450,Aurora,"$35,985","11,000",-,-,-,-,-,-,-,#NAME?,-,-
2016,Ford,Transit,Aurora,"$27,895","69,000",-,White,-,3,-,Automatic,RWD,#NAME?,6,Gasoline
2019,Ford,Transit,Aurora,"$35,985","13,000",Commercial,-,-,-,-,Automatic,-,#NAME?,6,-
2019,GMC,Savana,Aurora,"$31,995","27,000",-,-,-,3,-,Automatic,RWD,#NAME?,8,-
2019,GMC,Savana,Aurora,"$28,888","23,000",-,-,-,3,-,Automatic,RWD,#NAME?,8,-
2018,Ford,Transit,Aurora,"$32,985","35,000",-,-,-,3,-,Automatic,RWD,#NAME?,6,-
2017,Ford,Transit,Aurora,"$26,985","95,000",Commercial,-,-,3,-,Automatic,RWD,#NAME?,6,-
2019,Ford,Transit,Aurora,"$34,995","13,464",Commercial,-,-,3,-,Automatic,RWD,#NAME?,6,-
2017,Ford,Transit,Aurora,"$25,985","114,000",Commercial,-,-,-,-,Automatic,-,#NAME?,6,-
2019,GMC,Savana,Aurora,"$35,985","19,000",Commercial,-,-,2,2,Automatic,RWD,6.0L,8,Flex
