year,price,mileage,door,passenger,displacement,cylinder,body_type_num,location_index,exterior_color(i),interior_color(i),transmission(i),drive_type(i),fuel_index,brand_i,country_i,real_year,vehicle_id
2015,15987,72315,4,5,2.5,4,2.0,0,7,0,0,2,0,0,0,5.51,170
2018,21888,56554,4,7,3.6,6,7.0,0,7,0,0,0,0,1,2,3.36,171
2018,32888,1000,4,5,5.7,8,5.0,0,1,0,0,4,0,7,2,1.04,172
2011,9988,155998,4,5,4.6,8,1.0,0,0,0,0,3,0,2,1,11.0,173
2018,21888,62488,4,7,3.6,6,7.0,0,2,0,0,0,0,1,2,3.6,174
2018,21888,63244,4,7,3.6,6,7.0,0,0,0,0,0,0,1,2,3.64,175
2001,16995,160100,2,4,0.0,4,3.0,0,0,0,1,3,0,5,0,16.17,176
2016,27088,76240,4,5,3.8,6,1.0,0,5,0,0,2,0,2,1,5.18,177
2016,19499,50699,4,5,2.4,4,1.0,0,8,0,0,0,0,2,1,4.11,178
2015,12798,58630,4,5,2.0,4,4.0,0,3,0,0,0,0,16,2,4.94,179
2018,27888,31249,4,5,2.4,4,2.0,0,2,0,0,4,0,4,2,2.3,180
2016,19995,43210,4,5,0.0,4,1.0,0,5,0,0,1,0,14,2,3.8,181
2016,18999,61258,4,5,2.4,4,1.0,0,3,0,0,0,0,2,1,4.55,182
2017,32399,3489,4,5,1.6,4,2.0,0,3,1,0,2,0,2,1,1.65,183
2018,29686,38579,4,5,3.2,6,2.0,1,0,0,0,4,0,4,2,2.61,184
2014,9986,129373,4,5,2.0,4,4.0,1,0,0,1,0,0,16,2,8.39,185
2005,1950,220653,4,5,3.8,6,1.0,1,1,0,0,0,0,23,2,16.69,186
2015,6700,124456,4,5,1.8,4,4.0,1,1,0,0,0,0,12,2,7.69,187
2004,8800,318000,4,6,5.9,6,5.0,1,7,0,1,4,0,1,2,21.25,188
2009,1950,123946,4,5,2.4,4,2.0,1,7,0,1,0,0,14,2,10.66,189
2018,21998,57598,4,5,2.4,4,2.0,1,0,0,0,4,0,4,2,3.4,190
2018,46550,49654,4,5,3.6,6,5.0,1,6,0,0,4,0,12,2,3.07,191
2018,64550,50857,4,7,6.2,8,2.0,1,2,0,0,2,1,10,2,3.12,192
2017,14995,55118,4,5,1.4,4,1.0,1,2,0,0,0,0,12,2,3.8,193
2011,5888,246106,4,5,3.5,6,1.0,1,5,0,0,2,0,16,2,14.75,194
2015,18498,87500,4,5,2.0,4,2.0,1,4,0,0,4,0,24,0,6.15,195
2011,6898,114000,4,5,2.0,4,2.0,1,4,0,1,0,0,24,0,9.25,196
2016,9950,124665,4,7,3.6,6,7.0,1,1,0,0,0,0,1,2,7.19,197
2013,21986,159530,2,6,5.3,8,5.0,1,0,0,0,4,0,10,2,10.15,198
2015,14986,140000,4,8,3.6,6,2.0,1,0,0,0,2,0,12,2,8.33,199
2015,13258,70663,4,5,1.8,4,1.0,1,4,0,0,0,0,0,0,5.44,200
2016,21458,76672,4,5,2.5,4,2.0,1,3,0,0,2,0,0,0,5.19,201
2016,15758,123234,4,5,1.8,4,2.0,1,1,0,0,2,0,6,0,7.13,202
2015,19995,139038,3,2,3.5,6,8.0,1,1,0,0,3,0,16,2,8.29,203
2012,5900,139024,4,5,1.4,4,1.0,1,3,0,0,0,0,12,2,9.79,204
2012,15995,109700,4,5,2.5,4,2.0,1,4,0,0,2,0,8,0,8.57,205
2013,18995,137641,4,5,5.0,8,5.0,1,2,0,0,4,0,16,2,9.24,206
2017,38995,82799,4,7,3.5,6,2.0,1,5,0,0,4,0,16,2,4.95,207
